"character","group"
"Abbe Morio",1
"Aline_Kuragina",13
"Anatole_Kuragin",7
"AndreyBolkonsky",1
"Anna_Pavlovna_Scherer",1
"Austrian minister of war",1
"Bilibin",1
"Bolkonsky_s architect",1
"Boris_Drubetskoy",3
"Catiche_eldest princess_",1
"Count_Ilya_Rostov",3
"Count_Kirill_Bezukhov",1
"Countess_Natalya_Rostova",3
"Emperor_Francis_I_of_Austria",1
"Englishman",7
"Fedor_Ivanovich_Dolokhov",7
"General_Mack",1
"HeleneKuragin",1
"Hippolyte_Kuragin",1
"Julie_Karagina",1
"Kirsten",3
"Lavrushka",3
"Lieutenant_Alphonse_Karlovich_Berg",3
"Marya_Dmitriyevna_Akhrosimova",3
"Marya_Lvovna_Karagina",3
"Mikhail_Ilarionovich_Kutuzov",7
"Miloradovich",12
"Napoleon_Bonaparte",15
"NatashaRostova",3
"Nikolai_Rostov",3
"Petya_Rostov",3
"Pierre_Bezukhov",1
"Prince_Bagration",1
"Prince_Dolgorukov",1
"Prince_Kozlovsky",1
"Prince_Nesvitsky",7
"Prince_Nikolay_Bolkonsky",1
"Princess_Anna_Mikhaylovna_Drubetskaya",1
"Princess_Elisabeta_Lisa_Karlovna_Bolkonskaya",1
"Princess_Mariya_Bolkonskaya",1
"Pyotr_Nikolaitch_Shinshin",3
"Sonya_Rostova",3
"Staff_Captain_Tushin",3
"Telyanin",3
"Tikhon _servant_",1
"Timohin",11
"Tsar_Alexander_I_of_Russia",10
"Tushin_s gunner",3
"Vasili_Kuragin",1
"Vasily_Vasska_Denisov",3
"Vera_Rostova",3
"Weyrother",23
"Yakov_Alpatych",2
"Zherkov",7
"mademoiselle_Bourienne",1
"old priest",27
"regimental commander",11
"viscount",1
"Богданыч",7
"Вторая княжна",25
"Другой француз",36
"Ланжерон",23
"Лоррен",25
"Митенька",3
"Репнин",15
"Сидоров",9
"Сухтелен",15
"Тит",8
"Франц",1
"Штаб_ротмистр",3
"австрийский генерал",7
"адъютант",1
"альзасец",3
"апшеронцы",12
"аудитор",7
"батальонный командир",11
"берейтор",8
"генерал",7
"голос",1
"горничная",3
"гренадер",7
"гусар",3
"гусарские офицеры",7
"дама",27
"денщик",20
"денщик Телянина",3
"дипломаты",1
"другой адъютант",1
"другой офицер",7
"другой солдат",9
"ефрейтор",34
"казак",3
"кто_то",1
"лакей",3
"лекарша",1
"молодой солдат",35
"немец",3
"немец_доктор",1
"один из гусар",3
"один из офицеров",7
"один солдат",4
"один француз",37
"офицер",7
"офицер посмелее",7
"пехотинец",38
"пехотный офицер",3
"писарь",1
"пожилая дама",13
"полк",10
"свитский офицер",7
"слуга",1
"солдат",9
"солдатик",3
"солдаты",9
"солдаты пехотного полка",11
"субалтерн_офицер",11
"толпа",2
"унтер_офицер",3
"француз",9
"хохол",3
"худой солдат",33
"чиновник",1
"швейцар",1
"штаб_офицер",3
"шутник",8
"Anisya Fedorovna",3
"Arakcheev",1
"Chekmar",3
"Count_Rostopchin",1
"Danila",3
"Dunyasha",3
"Ilagin",3
"Joseph_Alexeevich_Bazdeev",1
"Kochubey",1
"Marya_Bogdanovna",1
"Nastasya Ivanovna _buffoon_",3
"Rostov_s groom",3
"Savishna_nurse_",1
"Uncle",3
"Villarsky",1
"hunter2",3
"Антон",1
"Балага",7
"Бицкий",1
"Гаврило",7
"Демьян",1
"Диммлер",3
