"character","core"
"Abbe Morio",2
"Aline_Kuragina",2
"Anatole_Kuragin",6
"AndreyBolkonsky",7
"Anna_Pavlovna_Scherer",6
"Austrian minister of war",2
"Bilibin",4
"Bolkonsky_s architect",2
"Boris_Drubetskoy",7
"Catiche_eldest princess_",3
"Count_Ilya_Rostov",7
"Count_Kirill_Bezukhov",1
"Countess_Natalya_Rostova",7
"Emperor_Francis_I_of_Austria",1
"Englishman",1
"Fedor_Ivanovich_Dolokhov",6
"General_Mack",2
"HeleneKuragin",6
"Hippolyte_Kuragin",4
"Julie_Karagina",5
"Kirsten",2
"Lavrushka",3
"Lieutenant_Alphonse_Karlovich_Berg",7
"Marya_Dmitriyevna_Akhrosimova",6
"Marya_Lvovna_Karagina",5
"Mikhail_Ilarionovich_Kutuzov",6
"Miloradovich",2
"Napoleon_Bonaparte",3
"NatashaRostova",7
"Nikolai_Rostov",7
"Petya_Rostov",6
"Pierre_Bezukhov",7
"Prince_Bagration",6
"Prince_Dolgorukov",4
"Prince_Kozlovsky",3
"Prince_Nesvitsky",6
"Prince_Nikolay_Bolkonsky",6
"Princess_Anna_Mikhaylovna_Drubetskaya",6
"Princess_Elisabeta_Lisa_Karlovna_Bolkonskaya",6
"Princess_Mariya_Bolkonskaya",7
"Pyotr_Nikolaitch_Shinshin",4
"Sonya_Rostova",7
"Staff_Captain_Tushin",5
"Telyanin",2
"Tikhon _servant_",2
"Timohin",6
"Tsar_Alexander_I_of_Russia",5
"Tushin_s gunner",3
"Vasili_Kuragin",6
"Vasily_Vasska_Denisov",6
"Vera_Rostova",7
"Weyrother",2
"Yakov_Alpatych",4
"Zherkov",6
"mademoiselle_Bourienne",3
"old priest",2
"regimental commander",6
"viscount",6
"Богданыч",6
"Вторая княжна",2
"Другой француз",1
"Ланжерон",2
"Лоррен",2
"Митенька",2
"Репнин",1
"Сидоров",2
"Сухтелен",1
"Тит",1
"Франц",1
"Штаб_ротмистр",1
"австрийский генерал",2
"адъютант",6
"альзасец",1
"апшеронцы",1
"аудитор",1
"батальонный командир",1
"берейтор",1
"генерал",6
"голос",1
"горничная",5
"гренадер",1
"гусар",2
"гусарские офицеры",1
"дама",2
"денщик",3
"денщик Телянина",1
"дипломаты",3
"другой адъютант",1
"другой офицер",4
"другой солдат",2
"ефрейтор",1
"казак",5
"кто_то",5
"лакей",5
"лекарша",1
"молодой солдат",1
"немец",2
"немец_доктор",2
"один из гусар",1
"один из офицеров",2
"один солдат",2
"один француз",1
"офицер",6
"офицер посмелее",1
"пехотинец",1
"пехотный офицер",2
"писарь",1
"пожилая дама",1
"полк",1
"свитский офицер",3
"слуга",2
"солдат",6
"солдатик",1
"солдаты",6
"солдаты пехотного полка",2
"субалтерн_офицер",1
"толпа",2
"унтер_офицер",2
"француз",2
"хохол",1
"худой солдат",1
"чиновник",2
"швейцар",2
"штаб_офицер",3
"шутник",2
"Anisya Fedorovna",2
"Arakcheev",1
