"volume","source","target","Weight"
"1","Abbe Morio","Anna_Pavlovna_Scherer",1
"1","Abbe Morio","Pierre_Bezukhov",1
"1","Aline_Kuragina","Vasili_Kuragin",2
"1","Aline_Kuragina","пожилая дама",1
"1","Anatole_Kuragin","Pierre_Bezukhov",7
"1","Anatole_Kuragin","Prince_Nikolay_Bolkonsky",2
"1","Anatole_Kuragin","Vasili_Kuragin",2
"1","Anatole_Kuragin","Yakov _Anatole_s servant_",1
"1","Anatole_Kuragin","более благоразумный человек",2
"1","AndreyBolkonsky","Anna_Pavlovna_Scherer",7
"1","AndreyBolkonsky","Bilibin",30
"1","AndreyBolkonsky","Boris_Drubetskoy",8
"1","AndreyBolkonsky","Emperor_Francis_I_of_Austria",6
"1","AndreyBolkonsky","Hippolyte_Kuragin",1
"1","AndreyBolkonsky","Mikhail_Ilarionovich_Kutuzov",8
"1","AndreyBolkonsky","Nikolai_Rostov",4
"1","AndreyBolkonsky","Pierre_Bezukhov",24
"1","AndreyBolkonsky","Prince_Bagration",6
"1","AndreyBolkonsky","Prince_Dolgorukov",11
"1","AndreyBolkonsky","Prince_Kozlovsky",16
"1","AndreyBolkonsky","Prince_Nesvitsky",12
"1","AndreyBolkonsky","Prince_Nikolay_Bolkonsky",20
"1","AndreyBolkonsky","Princess_Elisabeta_Lisa_Karlovna_Bolkonskaya",15
"1","AndreyBolkonsky","Princess_Mariya_Bolkonskaya",22
"1","AndreyBolkonsky","Staff_Captain_Tushin",2
"1","AndreyBolkonsky","Tsar_Alexander_I_of_Russia",2
"1","AndreyBolkonsky","Weyrother",1
"1","AndreyBolkonsky","Zherkov",2
"1","AndreyBolkonsky","viscount",4
"1","AndreyBolkonsky","адъютант",1
"1","AndreyBolkonsky","генерал",1
"1","AndreyBolkonsky","камердинер",1
"1","AndreyBolkonsky","офицер",5
"1","AndreyBolkonsky","солдаты",2
"1","AndreyBolkonsky","штаб_офицер",3
"1","Anna_Pavlovna_Scherer","Aline_Kuragina",1
"1","Anna_Pavlovna_Scherer","AndreyBolkonsky",4
"1","Anna_Pavlovna_Scherer","HeleneKuragin",2
"1","Anna_Pavlovna_Scherer","Pierre_Bezukhov",18
"1","Anna_Pavlovna_Scherer","Princess_Elisabeta_Lisa_Karlovna_Bolkonskaya",2
"1","Anna_Pavlovna_Scherer","Vasili_Kuragin",19
"1","Austrian minister of war","AndreyBolkonsky",4
"1","Austrian minister of war","адъютант",2
"1","Bilibin","AndreyBolkonsky",40
"1","Bilibin","Hippolyte_Kuragin",1
"1","Bilibin","Prince_Dolgorukov",1
"1","Bilibin","дипломаты",1
"1","Bolkonsky_s architect","Prince_Nikolay_Bolkonsky",1
"1","Boris_Drubetskoy","AndreyBolkonsky",2
"1","Boris_Drubetskoy","Lieutenant_Alphonse_Karlovich_Berg",1
"1","Boris_Drubetskoy","NatashaRostova",6
"1","Boris_Drubetskoy","Nikolai_Rostov",52
"1","Boris_Drubetskoy","Pierre_Bezukhov",12
"1","Boris_Drubetskoy","Princess_Anna_Mikhaylovna_Drubetskaya",6
"1","Boris_Drubetskoy","Vasili_Kuragin",1
"1","Boris_Drubetskoy","Vera_Rostova",2
"1","Catiche_eldest princess_","Pierre_Bezukhov",5
"1","Catiche_eldest princess_","Princess_Anna_Mikhaylovna_Drubetskaya",3
"1","Catiche_eldest princess_","Vasili_Kuragin",21
"1","Count_Ilya_Rostov","Countess_Natalya_Rostova",5
"1","Count_Ilya_Rostov","Julie_Karagina",1
"1","Count_Ilya_Rostov","Marya_Dmitriyevna_Akhrosimova",2
