"character","degree","weighted_degree","betweenness"
"Pierre_Bezukhov",171,1025,0.316096558874743
"NatashaRostova",113,993,0.116964422494084
"Nikolai_Rostov",139,983,0.223648199855439
"AndreyBolkonsky",124,860,0.236413297885159
"Princess_Mariya_Bolkonskaya",66,415,0.0503392806696362
"Countess_Natalya_Rostova",49,310,0.0161941331662932
"Vasily_Vasska_Denisov",50,270,0.0722689845608318
"Sonya_Rostova",30,269,0.0092207508981004
"Fedor_Ivanovich_Dolokhov",40,223,0.0414318442741684
"Prince_Nikolay_Bolkonsky",43,223,0.0265506318780199
"Boris_Drubetskoy",36,218,0.0235012453629539
"Vasili_Kuragin",34,206,0.0218408380483102
"Count_Ilya_Rostov",65,194,0.035311757331605
"Mikhail_Ilarionovich_Kutuzov",64,150,0.103823512801753
"Princess_Anna_Mikhaylovna_Drubetskaya",28,139,0.0179851110546501
"Anatole_Kuragin",23,129,0.0236423794049937
"Petya_Rostov",26,116,0.0248522998884119
"Princess_Elisabeta_Lisa_Karlovna_Bolkonskaya",22,113,0.00803745190399371
"Anna_Pavlovna_Scherer",24,112,0.0152643423819075
"Telyanin",4,105,0
"Napoleon_Bonaparte",29,100,0.0533231142772373
"Bilibin",10,80,0.00495693077164305
"Yakov_Alpatych",18,78,0.026222724268662
"regimental commander",14,69,0.0117643181447255
"Catiche_eldest princess_",8,63,0
"офицер",24,63,0.0155499709644459
"Marya_Dmitriyevna_Akhrosimova",14,60,8.6174386777941e-05
"адъютант",24,60,0.034412748290927
"Prince_Nesvitsky",21,58,0.0151830710337651
"Zherkov",17,57,0.016934661679635
"Prince_Bagration",19,54,0.00677276913925714
"Timohin",10,54,0.00626861552093196
"HeleneKuragin",17,53,0.011025912947235
"генерал",20,53,0.0174346051924002
"Captain_Ramballe",7,53,0.0032170355180057
"доктор",14,51,0.00680671881235456
"Platon_Karataev",2,51,0
"Julie_Karagina",10,48,0.0049554582330932
"Staff_Captain_Tushin",17,47,0.0087684397929018
"Balashev",5,45,0.00503090168899937
"Lieutenant_Alphonse_Karlovich_Berg",19,43,0.00853842165232103
"Count_Rostopchin",20,43,0.0187104364072015
"Dron_Zakharych",6,43,0.000523597130280934
"Tsar_Alexander_I_of_Russia",20,42,0.0368788626713801
"Joseph_Alexeevich_Bazdeev",4,42,0.000769333652689483
"Vera_Rostova",17,41,0.000545650062354678
"Uncle",8,41,0.00585154110861052
"солдаты",23,40,0.0517323617005447
"солдат",27,39,0.0496576785042601
"Prince_Kozlovsky",10,37,0.00552340475469365
"Marya_Lvovna_Karagina",9,35,2.45866233606e-05
"mademoiselle_Bourienne",14,35,0.000407336677852794
"Prince_Dolgorukov",7,32,0.000729573365290892
"viscount",11,32,0.0106325965037474
"Богданыч",16,30,0.00528467554849266
"Смольянинов _ритор_",2,30,0
"Hippolyte_Kuragin",12,27,0.000169667689703982
"фельдшер",3,27,0
"Kirsten",4,26,0
"Lavrushka",11,26,0.00592364399251968
"governor_s wife",2,26,0
"Tikhon_Shtcherbatov",6,24,0.00486454419616373
"Ilyin",9,20,0.000890377020700034
"Mavra_Kuzminishna",5,20,0.00016295687085525
"Сперанский",3,19,0
"штаб_офицер",6,18,0
"Ilagin",5,18,0.00488212159163316
"Пелагеюшка",6,18,0
"Michaud",3,18,0.000119526289192099
"Bolhovitinov",6,18,0.000938347058576444
"Балага",3,17,0
"пехотный офицер",4,16,0
"француз",8,16,0.0157970369238966
"Danila",5,16,0
"General_Davoust",4,16,0.00459930862244486
"ополченец",2,16,0
"esaul Lovaysky",5,16,0
"Pyotr_Nikolaitch_Shinshin",11,15,7.53091832283328e-05
"Villarsky",3,15,0
"Ferapontov",3,15,0.00486454419616373
"Shcherbinin",5,15,6.59152330103487e-06
"Emperor_Francis_I_of_Austria",2,14,0
"Тит",4,14,0.00486454419616373
"Лихачев",2,14,0
"Десаль",4,13,0
"Tikhon _servant_",6,12,0
"берейтор",2,12,0
"Arakcheev",2,12,0
"Dunyasha _Bolkonsky maid_",4,12,7.16450073776552e-05
"плясун",7,12,0.00535720931014584
"гусар",6,11,0.0097159053457254
"Yermolov",7,11,3.29576165051743e-05
"фельдфебель",6,11,0.0147448733309916
"Rugai",1,11,0
"General_Mack",3,10,0
"Tushin_s gunner",5,10,0
"австрийский генерал",4,10,0.000266444019657387
"денщик",6,10,0.00382662285543128
"лекарша",1,10,0
"Dunyasha",6,10,0
"Bolkonsky_s architect",6,9,0.000170491004977855
"горничная",5,9,3.63508352434593e-05
"казак",7,9,0.00570919517470141
"лакей",8,9,0.000142391296557333
"Chekmar",3,9,0.00486454419616373
"Диммлер",6,9,0
"Перонская",1,9,0
"Де_Боссе",2,9,0
"Савельич",2,9,0
